"database","schema","relation","column","key","type","description"
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","addr_state","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","annual_inc","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","collection_recovery_fee","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","collections_12_mths_ex_med","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","delinq_2yrs","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","desc","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","dti","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","earliest_cr_line","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","emp_length","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","emp_title","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","funded_amnt","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","funded_amnt_inv","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","grade","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","home_ownership","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","id","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","initial_list_status","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","inq_last_6mths","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","installment","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","int_rate","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","issue_d","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","last_credit_pull_d","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","last_pymnt_amnt","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","last_pymnt_d","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","loan_amnt","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","loan_status","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","member_id","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","mths_since_last_delinq","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","mths_since_last_major_derog","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","mths_since_last_record","varchar",""
"raw","datameer","_airbyte_raw_customer_loans","_airbyte_data","next_pymnt_d","varchar",""
