campaign_name,campaign_execution_datetime,campaign_status,campaign_tag,target_list_name,metric_name,metric_value
campaign13,1/3/22,active,network,standard,revenue,7161.6
campaign14,1/8/22,active,network,standard,revenue,7984.92
campaign15,1/13/22,cancelled,network,cable,revenue,6147.79
campaign16,1/18/22,complete,network,cable,revenue,7823.15
campaign17,1/23/22,active,network,standard,revenue,1401.65
campaign18,1/28/22,cancelled,digital,loyalty,revenue,4969.2
campaign19,2/2/22,active,digital,loyalty,revenue,3189.86
campaign20,2/7/22,cancelled,digital,new users,revenue,5031.09
campaign21,2/12/22,cancelled,digital,new users,revenue,3001.37
campaign22,2/17/22,complete,digital,standard test,revenue,9713.22
campaign23,2/22/22,complete,digital,standard test,revenue,9417.15
campaign24,2/27/22,complete,digital,standard test,revenue,9070.84
